Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
113,8.0,,,,,,2208835.93610796,,,,1776984.555531358,2103877.780894799,1806879.9974484136,,1869224.4185569216,,1869649.1593849778,2053571.3072654358,
114,8.071428571428571,1834097.1815060722,,2138473.890224232,,,2160753.8014346836,,,2148868.779566839,1848897.5973232011,1914404.0079567516,1833187.3769861495,,,,,2117774.3602169496,
115,8.142857142857142,,,2381073.8377765077,,,2309243.8638592106,,,,1886937.7678494842,,1607445.4420940701,,1980050.6686563974,,,,
116,8.214285714285714,1834771.5583385197,,2109409.155591162,,,2519547.259934619,,,,1869326.2514685697,1913683.3871509847,1914433.4185585198,,1894467.5997987639,,,2185708.57570688,
117,8.285714285714285,,,2046321.8177561532,2088602.7769301771,,2342805.188275919,,,,1889343.9008331816,2048276.5287025785,1717499.8115142775,,1749653.7871459776,,1901225.3396053603,2089434.5692758437,
118,8.357142857142856,,,2189117.5707572834,2249447.552456236,,2350791.9431963027,1839013.6776927214,,,1827497.059469912,1991070.6566098582,1811680.744911837,,1976721.8632468453,,1845485.0455883904,2153148.6027826923,
119,8.428571428571429,1896925.8908696957,,2079287.3445881633,2223552.9744326365,,2407765.906332545,,1939552.4911003353,,1619503.8373074138,2276174.8661617395,1694932.1060989709,,1811455.7080841304,,1785984.4466839405,2057578.9039100672,
120,8.5,,,,2085365.1356694282,,2202896.183809228,,1941559.8411676863,2075521.4049076831,2003889.4184666993,2102629.313977161,1726666.3818562923,,1872918.3853921103,,,2124684.828006292,
121,8.571428571428571,,,2000206.0994498746,2005049.6006535508,,,,,1993583.3038327247,1856474.7567812782,2094994.570993011,1845084.3960792397,,1765512.4228868682,,,,
122,8.642857142857142,,,2132439.0638035946,1971209.509324133,,2357760.1486412836,,,,1934856.4409952913,1922810.6738958876,1725277.2711297215,,,,,2133045.3350678277,
123,8.714285714285714,1899028.1864040417,,2211690.5987467594,1948110.7193618284,,2323103.3996997843,,,2145353.3782411073,2110056.7185106934,1894991.8251478688,1658827.685091068,,1822001.4901556317,,,2015457.1422205623,
124,8.785714285714285,,,2239752.878125938,1948110.7193618284,,2452935.5859361086,,1942525.3687035416,2094817.2798587182,1808657.722868075,1889548.3588539162,1885547.5503252088,,1988351.2211403013,,,1972629.4719604778,
125,8.857142857142856,1915357.481067778,,1984504.5207151538,1948110.7193618284,,2229950.5666854545,,,,1766221.8865298429,1968691.7357967638,1831404.8398310707,,2094437.5227405527,,1748570.2908599577,2143005.060228511,
126,8.928571428571429,1862247.9288724647,,2024978.8534706002,1948110.7193618284,,,1818359.3379880015,1892169.090319962,,1746071.3978279312,2026143.6499498286,1599064.4306159222,,1795080.7441573124,,1678555.1796748275,2203433.8475295217,
127,9.0,1846815.6300230369,,1949892.2821242744,1948110.7193618284,,2484674.7783728987,,,1840512.1782188844,1740462.2465931023,1875020.211750617,1950297.0443273787,,1913485.8955455872,,,,
128,9.071428571428571,,,2105607.827823763,,,2200219.9163826546,,,,1786891.850094837,2131085.674385738,1894958.6134189311,,1862783.5604280906,,,,
129,9.142857142857142,1763856.349075085,,2112309.8419047296,,,2307266.5657374156,1932946.5369941453,,2087370.5824795389,1751704.4418633268,2161635.1811529123,1799950.4337122187,,1728872.985591635,,1874520.2068706867,2164456.615230382,
130,9.214285714285714,,,2199788.2134567266,,,2271547.595384366,,,,1926544.6571774455,2088032.2824141094,1774135.3156494517,,1890244.210177658,,,2130596.1505081803,
131,9.285714285714285,1837811.631855971,,2161243.8979585813,,,2288337.3300294965,,,1924204.1339214637,1896241.5013940409,2097015.1950632138,1908672.3910340588,,1924984.2915321614,,,1979817.8990037933,
132,9.357142857142856,,,2012730.2346079552,2137434.8693806883,,2289391.213421059,,,2083780.294030166,1880058.6028864672,2153051.0652818084,1731666.3630496077,,1746917.629414818,,,2088273.4261563248,
133,9.428571428571429,1763408.1484514757,,1993364.3284045092,2180433.6411393853,,2195152.157119847,,1894470.553841979,1936045.8592015388,1810331.8966464214,2146416.105137872,1981326.864676978,,1857139.7420297742,,,1988534.422914053,
134,9.5,1707126.5472602989,,2175702.782371244,2249071.3066929257,,2216172.5777201573,,1938854.9972710842,1941396.0484388312,1885300.505681387,2202086.0948105636,1774733.42492199,,1854305.027384188,,,2112289.5451888884,
135,9.571428571428571,,,2062781.8643688236,,,2419214.2336109756,1939642.6113760318,,2028003.4750851798,1915603.007499872,2111562.117827828,1831414.8288626608,,1837672.7640128683,,,,
136,9.642857142857142,,,2157520.035753104,2158884.264321592,,2270748.206053692,,,,1806810.3197170186,2193822.607997415,1782540.8330264362,,1766558.5465105083,,,2185130.9887527204,
137,9.714285714285714,1831505.4209734001,,1977634.9433788825,2092206.8057706035,,2127721.9794359296,,,2119339.02098338,1831822.5645087492,2058674.5806672266,1706106.7085280195,,1922158.4397798504,,,2136367.2593879616,
138,9.785714285714285,,,2209256.8248931873,,,2385154.806427745,,,,1912835.4493957877,2232302.127801892,1648421.0248009549,,1842243.9931364364,,1877304.5663764868,2049781.2509768566,
139,9.857142857142856,1673050.4046381614,,1994527.0069420815,2077924.4259236923,,2175059.2168313996,,,2126671.333002913,1797280.819397524,1899266.4487441347,1787075.6951523267,,1897150.0189486146,,1752533.3498177389,2174614.9665864003,
140,9.928571428571429,1606367.0976637842,,2062741.9644630717,2055333.2030128695,,2278213.642606504,,,1996231.6857915835,1929318.4865291314,1994672.4045662803,1887862.068485278,,1968967.7224766507,,1797556.0786216226,2064813.675896247,
141,10.0,,,2067856.6138944712,2045994.8864919373,,2278765.252693445,,,,1820024.833343652,1983926.2078650892,2009332.9632712249,,,,,2000018.4961147625,
142,10.071428571428571,,,1974497.8537451203,2045994.8864919373,,2158832.0594908004,,,,1846275.1390352123,2089135.0047522904,1921633.4305141792,,2078444.146367128,,1784315.0972291825,,
143,10.142857142857142,,,1904500.1683236507,,,2367482.6851264145,,1961599.5842603624,,1909843.1057719365,1986759.3038900893,1859905.8478939403,,1798122.2430153193,,,2105985.4080583486,
